Input,Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Omics 1,Logistic Regression,0.6901408450704225,0.7272727272727273,0.6486486486486487,0.6857142857142857,0.7718600953895072
Omics 1,Random Forest,0.647887323943662,0.6764705882352942,0.6216216216216216,0.647887323943662,0.7567567567567568
Omics 1,SVM,0.647887323943662,0.7,0.5675675675675675,0.6268656716417911,0.753577106518283
Omics 2,Logistic Regression,0.5633802816901409,0.5789473684210527,0.5945945945945946,0.5866666666666667,0.6414944356120826
Omics 2,Random Forest,0.6197183098591549,0.625,0.6756756756756757,0.6493506493506493,0.651033386327504
Omics 2,SVM,0.5915492957746479,0.5625,0.972972972972973,0.7128712871287128,0.6144674085850557
Omics 3,Logistic Regression,0.7605633802816901,0.7941176470588235,0.7297297297297297,0.7605633802816901,0.8537360890302067
Omics 3,Random Forest,0.7605633802816901,0.8333333333333334,0.6756756756756757,0.746268656716418,0.800476947535771
Omics 3,SVM,0.7464788732394366,0.7878787878787878,0.7027027027027027,0.7428571428571429,0.7965023847376789
Combined,Logistic Regression,0.7605633802816901,0.7631578947368421,0.7837837837837838,0.7733333333333333,0.8322734499205088
Combined,Random Forest,0.7183098591549296,0.7575757575757576,0.6756756756756757,0.7142857142857143,0.7980922098569158
Combined,SVM,0.676056338028169,0.7692307692307693,0.5405405405405406,0.6349206349206349,0.8004769475357711
